"","loss","accuracy","val_loss","val_accuracy","initial_adjoint","terminal_adjoint","val_initial_adjoint","val_terminal_adjoint","architecture","dataset","permute","pad_length","orientation","dim","epochs","learning_rate","task","time_horizon","output_dim","baseline","identifier","terminal_epoch_flag","total_epochs","log_lr","treatment","hyperparameters","full.treatment","response"
"806085",0.428442567586899,0.840816676616669,0.428442567586899,0.825320541858673,2.08493590354919,0.187121674418449,0.196386009454727,0.021056080237031,"antisymmetric","fashion_mnist","False",1000,"post",256,50,0.001,"fashion_mnist-post-False",1784,10,0.1,"d8ebcff7-e24d-407f-a999-33de46b1c900",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-False","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-False",0.961112750324823
"841086",0.414247095584869,0.844466686248779,0.414247095584869,0.826021611690521,1.77141571044922,0.198723837733269,0.159553170204163,0.0229879450052977,"antisymmetric","fashion_mnist","False",1000,"post",256,50,0.001,"fashion_mnist-post-False",1784,10,0.1,"a6ec612b-1db4-4679-8af8-aff937a2f61e",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-False","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-False",0.96204172877693
"841936",0.437716245651245,0.835950016975403,0.437716245651245,0.824719548225403,1.47673904895782,0.245293632149696,0.156026184558868,0.0283102318644524,"antisymmetric","fashion_mnist","False",1000,"post",256,50,0.001,"fashion_mnist-post-False",1784,10,0.1,"d30768aa-0166-493e-be7b-41a98a95e53c",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-False","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-False",0.96031638153273
"995744",0.431977063417435,0.839483320713043,0.431977063417435,0.788561701774597,1.50426411628723,0.221836447715759,0.170487433671951,0.028752975165844,"antisymmetric","fashion_mnist","False",1000,"post",256,50,0.001,"fashion_mnist-post-False",1784,10,0.1,"b6cde87b-2dec-4648-8e7c-965adbf56baf",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-False","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-False",0.912404092768505
"1037629",0.436049938201904,0.837583363056183,0.436049938201904,0.831730782985687,1.75037288665771,0.18932817876339,0.150585696101189,0.0204107612371445,"antisymmetric","fashion_mnist","False",1000,"post",256,50,0.001,"fashion_mnist-post-False",1784,10,0.1,"be43743d-cda6-4c09-b3a1-b6c6fdb71892",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-False","0.001-256-50","antisymmetric-0.001-256-50-fashion_mnist-post-False",0.969606876885808
"419622",0.518268942832947,0.814050018787384,0.518268942832947,0.794170677661896,0.00942996051162481,0.0942394882440567,0.00112567958422005,0.011441258713603,"exponential","fashion_mnist","False",1000,"post",256,50,1e-04,"fashion_mnist-post-False",1784,10,0.1,"7e81d7d5-e594-453e-b606-eef15143945e",1,50,-9.21034037197618,"1e-04-256-50-fashion_mnist-post-False","1e-04-256-50","exponential-1e-04-256-50-fashion_mnist-post-False",0.919836473254701
"401893",0.867857575416565,0.687049984931946,0.867857575416565,0.700921475887299,0.133192956447601,2.44784379005432,0.0128726288676262,0.276851177215576,"gru","fashion_mnist","False",1000,"post",128,25,0.01,"fashion_mnist-post-False",1784,10,0.1,"4c8996a6-e8bb-4ecb-84a1-d50de438384c",1,25,-4.60517018598809,"0.01-128-25-fashion_mnist-post-False","0.01-128-25","gru-0.01-128-25-fashion_mnist-post-False",0.796273177289701
"402320",0.807074785232544,0.713116645812988,0.807074785232544,0.724058508872986,2.2808141708374,1.45038950443268,0.271956354379654,0.177019700407982,"gru","fashion_mnist","False",1000,"post",128,25,0.01,"fashion_mnist-post-False",1784,10,0.1,"5ea9648f-862e-4695-83e4-9bf92fc333d2",1,25,-4.60517018598809,"0.01-128-25-fashion_mnist-post-False","0.01-128-25","gru-0.01-128-25-fashion_mnist-post-False",0.826931756667924
"402800",0.801561594009399,0.702616691589355,0.801561594009399,0.672976791858673,1.61416852474213,1.46936130523682,0.208816453814507,0.196752279996872,"gru","fashion_mnist","False",1000,"post",128,25,0.01,"fashion_mnist-post-False",1784,10,0.1,"4ac80422-66a2-4ed9-8a24-d10a9c815c00",1,25,-4.60517018598809,"0.01-128-25-fashion_mnist-post-False","0.01-128-25","gru-0.01-128-25-fashion_mnist-post-False",0.759244042481406
"403973",1.98079490661621,0.24291667342186,1.98079490661621,0.310997605323792,12.169153213501,4.87679672241211,1.680948138237,0.687056362628937,"gru","fashion_mnist","False",1000,"post",128,25,0.01,"fashion_mnist-post-False",1784,10,0.1,"fc275e4e-3a7e-47b1-8b9a-10ca601e565c",1,25,-4.60517018598809,"0.01-128-25-fashion_mnist-post-False","0.01-128-25","gru-0.01-128-25-fashion_mnist-post-False",0.279590163329766
"726685",0.389135837554932,0.857766687870026,0.389135837554932,0.849559307098389,0.397357821464539,0.183934539556503,0.037108451128006,0.0189913138747215,"lipschitz","fashion_mnist","False",1000,"post",256,50,0.001,"fashion_mnist-post-False",1784,10,0.1,"d8018ac9-a2ce-48c0-9960-7d914afc1033",1,50,-6.90775527898214,"0.001-256-50-fashion_mnist-post-False","0.001-256-50","lipschitz-0.001-256-50-fashion_mnist-post-False",0.993231220683215
"407350",2.3037371635437,0.100649997591972,2.3037371635437,0.101762823760509,0,2.09078097343445,0,0.335120111703873,"lstm","fashion_mnist","False",1000,"post",128,50,0.01,"fashion_mnist-post-False",1784,10,0.1,"20dd9302-56da-4a21-a1fd-4571a95d27d9",1,50,-4.60517018598809,"0.01-128-50-fashion_mnist-post-False","0.01-128-50","lstm-0.01-128-50-fashion_mnist-post-False",0.00233589467693765
"418222",0.960703134536743,0.641416668891907,0.960703134536743,0.672876596450806,0.567388534545898,2.50652003288269,0.0431514531373978,0.333404421806335,"lstm","fashion_mnist","False",1000,"post",128,50,0.01,"fashion_mnist-post-False",1784,10,0.1,"0aa34158-a790-41af-bc24-7cce9c722c97",1,50,-4.60517018598809,"0.01-128-50-fashion_mnist-post-False","0.01-128-50","lstm-0.01-128-50-fashion_mnist-post-False",0.759111274858723
